id,dob,state,ela09,math09,sci09,hist09,ela10,math10,sci10,hist10
0,04/18/2006,MD,465,300,307,391,418,308,488,518
1,10/08/2006,LA,353,605,748,676,371,569,647,659
2,07/10/2006,OR,465,429,383,447,496,464,410,428
3,05/22/2006,CA,369,358,721,629,334,318,720,580
4,03/18/2006,OK,598,699,536,760,647,646,581,816
5,06/19/2006,ME,342,352,597,478,321,207,763,517
6,05/16/2006,OH,530,671,750,569,483,680,636,631
7,11/08/2006,IA,363,643,650,499,435,722,448,524
8,02/07/2006,AR,678,351,718,409,736,262,620,502
9,11/25/2006,AR,308,731,582,487,265,579,459,452
10,03/07/2006,WA,624,377,766,585,538,443,783,636
11,01/17/2006,IL,439,732,684,316,551,727,726,329
12,05/07/2006,TX,674,786,678,781,650,773,732,801
13,02/01/2006,OH,489,738,626,375,495,792,782,432
14,07/10/2006,IL,643,416,420,663,621,393,334,672
15,12/05/2006,AR,381,330,578,563,340,335,454,526
16,08/10/2006,DE,667,770,314,772,844,858,319,668
17,08/26/2006,KY,444,445,463,481,400,404,535,462
18,02/15/2006,CA,319,541,668,501,284,604,576,524
19,05/11/2006,UT,363,630,426,562,400,666,395,526
20,11/21/2006,HI,741,794,586,339,632,712,652,296
21,08/02/2006,MI,679,352,551,304,732,346,598,328
22,06/12/2006,OR,446,612,611,622,404,605,647,693
23,06/19/2006,NV,753,714,781,661,715,691,770,600
24,12/27/2006,KY,662,664,787,526,697,631,772,525
25,03/16/2006,WY,749,637,799,434,820,607,808,310
26,01/23/2006,MI,613,610,591,740,595,596,608,715
27,03/29/2006,MI,525,618,709,428,567,697,662,519
28,11/30/2006,MI,394,788,369,312,453,750,446,371
29,04/16/2006,NM,412,681,798,749,452,739,855,781
30,12/26/2006,WY,574,704,568,386,616,736,521,469
31,12/22/2006,MO,651,556,446,313,766,528,392,302
32,04/18/2006,WI,547,324,380,494,664,275,457,432
33,02/22/2006,AL,471,345,499,732,445,376,542,743
34,01/04/2006,OK,305,768,614,652,283,832,652,563
35,10/28/2006,AZ,355,608,731,300,318,671,735,330
36,10/09/2006,KY,717,329,442,759,685,308,527,729
37,06/25/2006,FL,570,580,331,709,531,690,288,692
38,09/25/2006,WY,735,473,408,437,694,473,451,425
39,05/06/2006,OK,687,729,487,761,748,766,386,813
40,09/01/2006,DE,565,429,642,382,615,471,634,399
41,02/03/2006,IN,646,596,797,653,550,733,805,724
42,04/11/2006,MI,381,309,743,571,422,333,754,596
43,11/23/2006,WI,757,699,648,686,897,724,541,778
44,02/06/2006,MI,623,408,672,557,605,362,729,657
45,04/13/2006,HI,770,328,375,741,864,323,345,798
46,01/29/2006,NY,615,731,679,579,696,746,692,510
47,07/02/2006,NJ,638,737,311,749,615,832,356,764
48,11/22/2006,WA,731,318,632,415,669,266,668,422
49,04/30/2006,NJ,612,464,537,460,626,452,489,416
50,05/15/2006,IN,664,562,690,738,678,564,755,839
51,07/12/2006,OH,358,768,700,456,361,708,664,582
52,03/31/2006,CT,768,611,621,749,821,496,597,745
53,06/24/2006,CT,653,453,409,713,614,462,411,606
54,09/22/2006,MN,551,630,721,481,605,635,670,491
55,08/28/2006,VT,376,336,545,529,364,383,440,567
56,03/23/2006,MD,521,543,385,580,550,581,528,661
57,07/24/2006,OH,762,610,642,409,747,634,766,232
58,10/28/2006,MO,503,606,608,650,436,498,522,563
59,09/27/2006,MI,440,454,483,789,286,430,355,664
60,02/26/2006,ID,598,404,364,397,546,426,211,428
61,02/02/2006,IA,367,535,300,786,382,545,435,771
62,03/10/2006,CT,535,441,769,576,416,481,828,565
63,07/04/2006,UT,309,602,788,512,240,718,768,585
64,11/09/2006,MD,546,571,316,577,554,637,235,534
65,06/17/2006,OK,454,417,705,437,401,380,577,388
66,03/24/2006,AL,677,529,755,316,723,565,756,263
67,07/25/2006,IN,719,634,341,621,728,656,456,587
68,11/27/2006,IN,498,481,311,646,583,437,436,647
69,04/01/2006,IN,328,315,590,513,223,220,480,523
70,12/15/2006,MD,784,713,339,376,799,804,335,307
71,01/01/2006,HI,353,418,349,621,309,440,389,619
72,07/01/2006,TX,443,325,662,446,395,380,604,448
73,02/04/2006,ND,480,554,498,697,487,590,382,738
74,08/08/2006,NM,675,645,590,611,661,661,581,647
75,01/10/2006,NM,669,478,672,504,634,448,628,424
76,02/05/2006,IA,368,635,650,651,360,576,490,667
77,12/01/2006,TX,626,670,631,698,599,670,548,701
78,02/25/2006,AK,629,349,429,382,587,410,456,433
79,01/24/2006,WA,361,794,385,533,320,708,458,472
80,02/19/2006,NE,547,459,330,397,635,424,410,353
81,12/06/2006,SC,484,514,608,360,535,474,607,373
82,03/18/2006,KY,783,764,405,317,731,759,248,316
83,10/10/2006,OR,457,712,554,661,481,780,595,739
84,04/05/2006,WA,470,686,418,667,418,730,463,727
85,03/21/2006,UT,529,331,773,729,438,312,737,694
86,03/30/2006,SD,789,451,745,441,780,565,674,495
87,10/03/2006,AZ,757,300,380,394,830,205,364,296
88,08/08/2006,MN,504,336,697,430,480,376,508,526
89,12/10/2006,NJ,620,421,455,343,616,404,434,312
90,12/13/2006,AR,628,468,589,341,468,524,705,336
91,05/11/2006,WY,557,499,655,517,510,522,709,536
92,02/26/2006,CO,520,358,521,441,474,338,629,509
93,09/30/2006,WA,684,345,535,680,668,326,496,635
94,02/10/2006,TN,793,640,584,529,780,626,498,659
95,04/11/2006,MT,466,681,512,771,468,559,521,826
96,08/28/2006,AR,617,318,747,665,526,289,795,649
97,11/30/2006,MA,661,557,563,541,606,587,509,487
98,05/12/2006,LA,800,426,673,414,790,474,494,567
99,03/16/2006,OR,797,503,349,472,816,496,379,477
100,03/10/2006,ID,316,358,670,364,313,320,559,258
101,06/19/2006,WA,497,389,448,337,409,277,454,395
102,08/25/2006,TX,745,321,312,376,783,379,342,340
103,09/10/2006,AL,580,345,696,360,561,396,684,392
104,09/05/2006,WI,699,592,483,328,652,667,461,330
105,02/21/2006,NJ,786,653,643,397,728,537,709,311
106,09/21/2006,IA,571,775,465,373,590,891,494,371
107,03/11/2006,MO,662,376,585,301,592,331,554,200
108,10/05/2006,CT,469,375,620,379,443,321,698,272
109,06/12/2006,SD,397,477,638,562,502,500,613,471
110,09/02/2006,RI,483,419,542,332,545,493,633,476
111,03/28/2006,KY,632,490,640,749,610,484,494,775
112,09/02/2006,KY,391,333,515,332,318,485,494,250
113,09/21/2006,IL,376,708,300,465,276,784,198,460
114,01/17/2006,PA,793,344,532,654,882,455,611,631
115,12/29/2006,WA,519,610,522,384,575,566,515,211
